city,main,temp,feels_like,humidity,wind_speed,dt
Delhi,Haze,23.05000000000001,23.32000000000005,73,0.0,1729378123
Mumbai,Mist,24.99000000000001,25.840000000000032,88,1.54,1729377931
Chennai,Rain,27.310000000000002,32.02000000000004,93,2.06,1729378500
Bangalore,Rain,21.060000000000002,21.700000000000045,95,1.64,1729377804
Kolkata,Mist,24.970000000000027,25.980000000000018,94,2.06,1729378478
Hyderabad,Mist,22.730000000000018,23.510000000000048,94,2.06,1729378309
